ORIGINAL_SCRIPT_WORD_INDEX,POSITIVE_MATCH,ORIGINAL_SCRIPT_WORD,LOWERCASE,SPACY_ORTH_ID,SCENE,CHARACTER,ANGER,ANTICIPATION,DISGUST,FEAR,JOY,SADNESS,SURPRISE,TRUST,NEGATIVE,POSITIVE,SCRIPT_SECTION
0,44,a,a,506,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
1,48,long,long,824,1,Intro Text,0,1,0,0,0,0,0,0,0,0,1
2,48,time,time,646,1,Intro Text,0,1,0,0,0,0,0,0,0,0,1
3,50,ago,ago,1060,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
4,121,in,in,522,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
5,136,a,a,506,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
6,134,galaxy,galaxy,422766,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
7,134,far,far,916,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
8,124,",",",",450,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
9,124,far,far,916,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
10,117,away,away,944,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
11,11,...,...,569,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
12,1,star,star,4131,1,Intro Text,0,1,0,0,1,0,0,1,0,1,1
13,1,wars,wars,2956,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
14,0,episode,episode,3491,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
15,0,vii,vii,346345,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
16,0,the,the,501,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
17,0,force,force,1555,1,Intro Text,1,0,0,1,0,0,0,0,1,0,1
18,0,awakens,awakens,555224,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
19,0,luke,luke,247182,1,Intro Text,0,0,0,0,0,0,0,0,0,0,1
20,0,skywalker,skywalker,303039,1,Intro Text,0,0,0,0,0,0,0,0,0,0,2
